Time	Node	Type	Packets	
159	RouterNet	CacheMisses	131
159.5	RouterNet	CacheHits	0
159.5	RouterNet	CacheMisses	137
160	RouterNet	CacheHits	0
160	RouterNet	CacheMisses	131
160.5	RouterNet	CacheHits	0
160.5	RouterNet	CacheMisses	125
161	RouterNet	CacheHits	0
161	RouterNet	CacheMisses	137
161.5	RouterNet	CacheHits	0
161.5	RouterNet	CacheMisses	127
162	RouterNet	CacheHits	0
162	RouterNet	CacheMisses	135
162.5	RouterNet	CacheHits	0
162.5	RouterNet	CacheMisses	136
163	RouterNet	CacheHits	0
163	RouterNet	CacheMisses	131
163.5	RouterNet	CacheHits	38
163.5	RouterNet	CacheMisses	94
164	RouterNet	CacheHits	60
164	RouterNet	CacheMisses	68
164.5	RouterNet	CacheHits	45
164.5	RouterNet	CacheMisses	93
165	RouterNet	CacheHits	9
165	RouterNet	CacheMisses	119
165.5	RouterNet	CacheHits	0
165.5	RouterNet	CacheMisses	130
166	RouterNet	CacheHits	0
166	RouterNet	CacheMisses	138
166.5	RouterNet	CacheHits	0
166.5	RouterNet	CacheMisses	129
167	RouterNet	CacheHits	0
167	RouterNet	CacheMisses	130
167.5	RouterNet	CacheHits	1
167.5	RouterNet	CacheMisses	123
168	RouterNet	CacheHits	0
168	RouterNet	CacheMisses	136
168.5	RouterNet	CacheHits	0
168.5	RouterNet	CacheMisses	133
169	RouterNet	CacheHits	0
169	RouterNet	CacheMisses	133
169.5	RouterNet	CacheHits	0
169.5	RouterNet	CacheMisses	131
170	RouterNet	CacheHits	0
170	RouterNet	CacheMisses	127
170.5	RouterNet	CacheHits	0
170.5	RouterNet	CacheMisses	126
171	RouterNet	CacheHits	0
171	RouterNet	CacheMisses	133
171.5	RouterNet	CacheHits	0
171.5	RouterNet	CacheMisses	127
172	RouterNet	CacheHits	0
172	RouterNet	CacheMisses	134
172.5	RouterNet	CacheHits	0
172.5	RouterNet	CacheMisses	128
173	RouterNet	CacheHits	0
173	RouterNet	CacheMisses	129
173.5	RouterNet	CacheHits	0
173.5	RouterNet	CacheMisses	134
174	RouterNet	CacheHits	0
174	RouterNet	CacheMisses	130
174.5	RouterNet	CacheHits	0
174.5	RouterNet	CacheMisses	129
175	RouterNet	CacheHits	0
175	RouterNet	CacheMisses	125
175.5	RouterNet	CacheHits	0
175.5	RouterNet	CacheMisses	128
176	RouterNet	CacheHits	0
176	RouterNet	CacheMisses	134
176.5	RouterNet	CacheHits	0
176.5	RouterNet	CacheMisses	136
177	RouterNet	CacheHits	0
177	RouterNet	CacheMisses	132
177.5	RouterNet	CacheHits	0
177.5	RouterNet	CacheMisses	130
178	RouterNet	CacheHits	0
178	RouterNet	CacheMisses	131
178.5	RouterNet	CacheHits	0
178.5	RouterNet	CacheMisses	134
179	RouterNet	CacheHits	0
179	RouterNet	CacheMisses	132
179.5	RouterNet	CacheHits	0
179.5	RouterNet	CacheMisses	137
180	RouterNet	CacheHits	0
180	RouterNet	CacheMisses	130
180.5	RouterNet	CacheHits	0
180.5	RouterNet	CacheMisses	136
181	RouterNet	CacheHits	0
181	RouterNet	CacheMisses	130
181.5	RouterNet	CacheHits	0
181.5	RouterNet	CacheMisses	135
182	RouterNet	CacheHits	0
182	RouterNet	CacheMisses	132
182.5	RouterNet	CacheHits	0
182.5	RouterNet	CacheMisses	125
183	RouterNet	CacheHits	0
183	RouterNet	CacheMisses	132
183.5	RouterNet	CacheHits	0
183.5	RouterNet	CacheMisses	130
184	RouterNet	CacheHits	0
184	RouterNet	CacheMisses	126
184.5	RouterNet	CacheHits	0
184.5	RouterNet	CacheMisses	128
185	RouterNet	CacheHits	0
185	RouterNet	CacheMisses	131
185.5	RouterNet	CacheHits	0
185.5	RouterNet	CacheMisses	129
186	RouterNet	CacheHits	0
186	RouterNet	CacheMisses	126
186.5	RouterNet	CacheHits	0
186.5	RouterNet	CacheMisses	130
187	RouterNet	CacheHits	0
187	RouterNet	CacheMisses	136
187.5	RouterNet	CacheHits	0
187.5	RouterNet	CacheMisses	130
188	RouterNet	CacheHits	0
188	RouterNet	CacheMisses	127
188.5	RouterNet	CacheHits	0
188.5	RouterNet	CacheMisses	134
189	RouterNet	CacheHits	0
189	RouterNet	CacheMisses	133
189.5	RouterNet	CacheHits	0
189.5	RouterNet	CacheMisses	132
190	RouterNet	CacheHits	0
190	RouterNet	CacheMisses	129
190.5	RouterNet	CacheHits	0
190.5	RouterNet	CacheMisses	130
191	RouterNet	CacheHits	0
191	RouterNet	CacheMisses	131
191.5	RouterNet	CacheHits	0
191.5	RouterNet	CacheMisses	134
192	RouterNet	CacheHits	0
192	RouterNet	CacheMisses	125
192.5	RouterNet	CacheHits	0
192.5	RouterNet	CacheMisses	127
193	RouterNet	CacheHits	0
193	RouterNet	CacheMisses	133
193.5	RouterNet	CacheHits	0
